sample_index,energy
0,-4.422239999999999
1,-5.4501800000000005
2,-5.4501800000000005
3,-5.4501800000000005
4,-5.4501800000000005
5,-5.4501800000000005
6,-5.4501800000000005
7,-5.4501800000000005
8,-5.4501800000000005
9,-5.4501800000000005
10,-5.4501800000000005
11,-5.4501800000000005
12,-5.4501800000000005
13,-5.4501800000000005
14,-5.4501800000000005
15,-5.4501800000000005
16,-5.4501800000000005
17,-5.4501800000000005
18,-5.4501800000000005
19,-5.4501800000000005
20,-5.4501800000000005
21,-5.4501800000000005
22,-5.4501800000000005
23,-5.4501800000000005
24,-5.4501800000000005
25,-5.4501800000000005
26,-5.4501800000000005
27,-5.4501800000000005
28,-5.4501800000000005
29,-5.4501800000000005
30,-5.4501800000000005
31,-5.4501800000000005
32,-5.4501800000000005
33,-5.4501800000000005
34,-5.4501800000000005
35,-5.4501800000000005
36,-5.4501800000000005
37,-5.4501800000000005
38,-5.4501800000000005
39,-5.4501800000000005
40,-5.4501800000000005
41,-5.4501800000000005
42,-5.4501800000000005
43,-5.4501800000000005
44,-5.4501800000000005
45,-5.4501800000000005
46,-5.4501800000000005
47,-5.4501800000000005
48,-5.4501800000000005
49,-5.4501800000000005
50,-5.4501800000000005
51,-5.4501800000000005
52,-5.4501800000000005
53,-5.4501800000000005
54,-5.4501800000000005
55,-5.4501800000000005
56,-5.4501800000000005
57,-5.4501800000000005
58,-5.4501800000000005
59,-5.4501800000000005
60,-5.4501800000000005
61,-5.4501800000000005
62,-5.4501800000000005
63,-5.4501800000000005
64,-5.4501800000000005
65,-5.4501800000000005
66,-5.4501800000000005
67,-5.4501800000000005
68,-5.4501800000000005
69,-5.4501800000000005
70,-5.4501800000000005
71,-5.4501800000000005
72,-5.4501800000000005
73,-5.4501800000000005
74,-5.4501800000000005
75,-5.4501800000000005
76,-5.4501800000000005
77,-5.4501800000000005
78,-5.4501800000000005
79,-5.4501800000000005
80,-5.4501800000000005
81,-5.4501800000000005
82,-5.4501800000000005
83,-5.4501800000000005
84,-5.4501800000000005
85,-5.4501800000000005
86,-5.4501800000000005
87,-5.4501800000000005
88,-5.4501800000000005
89,-5.4501800000000005
90,-5.4501800000000005
91,-5.4501800000000005
92,-5.4501800000000005
93,-5.4501800000000005
94,-5.4501800000000005
95,-5.4501800000000005
96,-5.4501800000000005
97,-5.4501800000000005
98,-5.4501800000000005
99,-5.4501800000000005
100,-5.4501800000000005
101,-5.4501800000000005
102,-5.4501800000000005
103,-5.4501800000000005
104,-5.4501800000000005
105,-5.4501800000000005
106,-5.4501800000000005
107,-5.4501800000000005
108,-5.4501800000000005
109,-5.4501800000000005
110,-5.4501800000000005
111,-5.4501800000000005
112,-5.4501800000000005
113,-5.4501800000000005
114,-5.4501800000000005
115,-5.4501800000000005
116,-5.4501800000000005
117,-5.4501800000000005
118,-5.4501800000000005
119,-5.4501800000000005
120,-5.4501800000000005
121,-5.4501800000000005
122,-5.4501800000000005
123,-5.4501800000000005
124,-5.4501800000000005
125,-5.4501800000000005
126,-5.4501800000000005
127,-5.4501800000000005
128,-5.4501800000000005
129,-5.4501800000000005
130,-5.4501800000000005
131,-5.4501800000000005
132,-5.4501800000000005
133,-5.4501800000000005
134,-5.4501800000000005
135,-5.4501800000000005
136,-5.4501800000000005
137,-5.4501800000000005
138,-5.4501800000000005
139,-5.4501800000000005
140,-5.4501800000000005
141,-5.4501800000000005
142,-5.4501800000000005
143,-5.4501800000000005
144,-5.4501800000000005
145,-5.4501800000000005
146,-5.4501800000000005
147,-5.4501800000000005
148,-5.4501800000000005
149,-5.4501800000000005
150,-5.4501800000000005
151,-5.4501800000000005
152,-5.4501800000000005
153,-5.4501800000000005
154,-5.4501800000000005
155,-5.4501800000000005
156,-5.4501800000000005
157,-5.4501800000000005
158,-5.4501800000000005
159,-5.4501800000000005
160,-5.4501800000000005
161,-5.4501800000000005
162,-5.4501800000000005
163,-5.4501800000000005
164,-5.4501800000000005
165,-5.4501800000000005
166,-5.4501800000000005
167,-5.4501800000000005
168,-5.4501800000000005
169,-5.4501800000000005
170,-5.4501800000000005
171,-5.4501800000000005
172,-5.4501800000000005
173,-5.4501800000000005
174,-5.4501800000000005
175,-5.4501800000000005
176,-5.4501800000000005
177,-5.4501800000000005
178,-5.4501800000000005
179,-5.4501800000000005
180,-5.4501800000000005
181,-5.4501800000000005
182,-5.4501800000000005
183,-5.4501800000000005
184,-5.4501800000000005
185,-5.4501800000000005
186,-5.4501800000000005
187,-5.4501800000000005
188,-5.4501800000000005
189,-5.4501800000000005
190,-5.4501800000000005
191,-5.4501800000000005
192,-5.4501800000000005
