sample_index,energy
269,-653.1472680355464
270,-653.1472680355464
271,-653.1472680355464
272,-653.1472680355464
273,-653.1472680355464
274,-653.1472680355464
275,-653.1472680355464
276,-653.1472680355464
277,-653.1472680355464
278,-653.1472680355464
279,-653.1472680355464
280,-653.1472680355464
281,-653.1472680355464
282,-653.1472680355464
283,-653.1472680355464
284,-653.1472680355464
285,-653.1472680355464
286,-653.1472680355464
287,-653.1472680355464
288,-653.1472680355464
289,-653.1472680355464
290,-653.1472680355464
291,-653.1472680355464
292,-653.1472680355464
293,-653.1472680355464
294,-653.1472680355464
295,-653.1472680355464
296,-653.1472680355464
297,-653.1472680355464
298,-653.1472680355464
299,-653.1472680355464
300,-653.1472680355464
301,-653.1472680355464
302,-653.1472680355464
303,-653.1472680355464
304,-653.1472680355464
305,-653.1472680355464
306,-653.1472680355464
307,-653.1472680355464
308,-653.1472680355464
309,-653.1472680355464
310,-653.1472680355464
311,-653.1472680355464
312,-653.1472680355464
313,-653.1472680355464
314,-653.1472680355464
315,-653.1472680355464
316,-653.1472680355464
317,-653.1472680355464
318,-653.1472680355464
319,-653.1472680355464
320,-653.1472680355464
321,-653.1472680355464
322,-653.1472680355464
323,-653.1472680355464
324,-653.1472680355464
325,-653.1472680355464
326,-653.1472680355464
327,-653.1472680355464
328,-653.1472680355464
329,-653.1472680355464
330,-653.1472680355464
331,-653.1472680355464
332,-653.1472680355464
333,-653.1472680355464
334,-653.1472680355464
335,-653.1472680355464
336,-653.1472680355464
337,-653.1472680355464
338,-653.1472680355464
339,-653.1472680355464
340,-653.1472680355464
341,-653.1472680355464
342,-653.1472680355464
343,-653.1472680355464
344,-653.1472680355464
345,-653.1472680355464
346,-653.1472680355464
347,-653.1472680355464
348,-653.1472680355464
349,-653.1472680355464
350,-653.1472680355464
351,-653.1472680355464
352,-653.1472680355464
353,-653.1472680355464
354,-653.1472680355464
355,-653.1472680355464
356,-653.1472680355464
357,-653.1472680355464
358,-653.1472680355464
359,-653.1472680355464
360,-653.1472680355464
361,-653.1472680355464
362,-653.1472680355464
363,-653.1472680355464
364,-653.1472680355464
365,-653.1472680355464
366,-653.1472680355464
367,-653.1472680355464
368,-653.1472680355464
369,-653.1472680355464
370,-653.1472680355464
371,-653.1472680355464
372,-653.1472680355464
373,-653.1472680355464
374,-653.1472680355464
375,-653.1472680355464
376,-653.1472680355464
377,-653.1472680355464
378,-653.1472680355464
379,-653.1472680355464
380,-653.1472680355464
381,-653.1472680355464
382,-653.1472680355464
383,-653.1472680355464
384,-653.1472680355464
385,-653.1472680355464
386,-653.1472680355464
387,-653.1472680355464
388,-653.1472680355464
389,-653.1472680355464
390,-653.1472680355464
391,-653.1472680355464
392,-653.1472680355464
393,-653.1472680355464
394,-653.1472680355464
395,-653.1472680355464
396,-653.1472680355464
397,-653.1472680355464
398,-653.1472680355464
399,-653.1472680355464
400,-653.1472680355464
401,-653.1472680355464
402,-653.1472680355464
403,-653.1472680355464
404,-653.1472680355464
405,-653.1472680355464
406,-653.1472680355464
407,-653.1472680355464
408,-653.1472680355464
409,-653.1472680355464
410,-653.1472680355464
411,-653.1472680355464
412,-653.1472680355464
413,-653.1472680355464
414,-653.1472680355464
415,-653.1472680355464
416,-653.1472680355464
417,-653.1472680355464
418,-653.1472680355464
419,-653.1472680355464
420,-653.1472680355464
421,-653.1472680355464
422,-653.1472680355464
423,-653.1472680355464
424,-653.1472680355464
425,-653.1472680355464
426,-653.1472680355464
427,-653.1472680355464
428,-653.1472680355464
429,-653.1472680355464
430,-653.1472680355464
431,-653.1472680355464
432,-653.1472680355464
433,-653.1472680355464
434,-653.1472680355464
435,-653.1472680355464
436,-653.1472680355464
437,-653.1472680355464
438,-653.1472680355464
439,-653.1472680355464
440,-653.1472680355464
441,-653.1472680355464
442,-653.1472680355464
443,-653.1472680355464
444,-653.1472680355464
445,-653.1472680355464
446,-653.1472680355464
447,-653.1472680355464
448,-653.1472680355464
449,-653.1472680355464
450,-653.1472680355464
451,-653.1472680355464
452,-653.1472680355464
453,-653.1472680355464
454,-653.1472680355464
455,-653.1472680355464
456,-653.1472680355464
457,-653.1472680355464
458,-653.1472680355464
459,-653.1472680355464
460,-653.1472680355464
461,-653.1472680355464
462,-653.1472680355464
463,-653.1472680355464
464,-653.1472680355464
465,-653.1472680355464
466,-653.1472680355464
467,-653.1472680355464
468,-653.1472680355464
469,-653.1472680355464
470,-653.1472680355464
471,-653.1472680355464
472,-653.1472680355464
473,-653.1472680355464
474,-653.1472680355464
475,-653.1472680355464
476,-653.1472680355464
477,-653.1472680355464
478,-653.1472680355464
479,-653.1472680355464
480,-653.1472680355464
481,-653.1472680355464
482,-653.1472680355464
483,-653.1472680355464
484,-653.1472680355464
485,-653.1472680355464
486,-653.1472680355464
487,-653.1472680355464
488,-653.1472680355464
489,-653.1472680355464
490,-653.1472680355464
491,-653.1472680355464
492,-653.1472680355464
493,-653.1472680355464
494,-653.1472680355464
495,-653.1472680355464
496,-653.1472680355464
497,-653.1472680355464
498,-653.1472680355464
499,-653.1472680355464
500,-653.1472680355464
501,-653.1472680355464
502,-653.1472680355464
503,-653.1472680355464
504,-653.1472680355464
505,-653.1472680355464
506,-653.1472680355464
507,-653.1472680355464
508,-653.1472680355464
509,-653.1472680355464
510,-653.1472680355464
511,-653.1472680355464
512,-653.1472680355464
513,-653.1472680355464
514,-653.1472680355464
515,-653.1472680355464
516,-653.1472680355464
517,-653.1472680355464
518,-653.1472680355464
519,-653.1472680355464
520,-653.1472680355464
521,-653.1472680355464
522,-653.1472680355464
523,-653.1472680355464
524,-653.1472680355464
525,-653.1472680355464
526,-653.1472680355464
527,-653.1472680355464
528,-653.1472680355464
529,-653.1472680355464
530,-653.1472680355464
531,-653.1472680355464
532,-653.1472680355464
533,-653.1472680355464
534,-653.1472680355464
535,-653.1472680355464
536,-653.1472680355464
537,-653.1472680355464
538,-653.1472680355464
539,-653.1472680355464
540,-653.1472680355464
541,-653.1472680355464
542,-653.1472680355464
543,-653.1472680355464
544,-653.1472680355464
545,-653.1472680355464
546,-653.1472680355464
547,-653.1472680355464
548,-653.1472680355464
549,-653.1472680355464
550,-653.1472680355464
551,-653.1472680355464
552,-653.1472680355464
553,-653.1472680355464
554,-653.1472680355464
555,-653.1472680355464
556,-653.1472680355464
557,-653.1472680355464
558,-653.1472680355464
559,-653.1472680355464
560,-653.1472680355464
561,-653.1472680355464
562,-653.1472680355464
563,-653.1472680355464
564,-653.1472680355464
565,-653.1472680355464
566,-653.1472680355464
567,-653.1472680355464
568,-653.1472680355464
569,-653.1472680355464
570,-653.1472680355464
571,-653.1472680355464
572,-653.1472680355464
573,-653.1472680355464
574,-653.1472680355464
575,-653.1472680355464
576,-653.1472680355464
577,-653.1472680355464
578,-653.1472680355464
579,-653.1472680355464
580,-653.1472680355464
581,-653.1472680355464
582,-653.1472680355464
583,-653.1472680355464
584,-653.1472680355464
585,-653.1472680355464
586,-653.1472680355464
587,-653.1472680355464
588,-653.1472680355464
589,-653.1472680355464
590,-653.1472680355464
591,-653.1472680355464
592,-653.1472680355464
593,-653.1472680355464
594,-653.1472680355464
595,-653.1472680355464
596,-653.1472680355464
597,-653.1472680355464
598,-653.1472680355464
599,-653.1472680355464
600,-653.1472680355464
601,-653.1472680355464
602,-653.1472680355464
603,-653.1472680355464
604,-653.1472680355464
605,-653.1472680355464
606,-653.1472680355464
607,-653.1472680355464
608,-653.1472680355464
609,-653.1472680355464
610,-653.1472680355464
611,-653.1472680355464
612,-653.1472680355464
613,-653.1472680355464
614,-653.1472680355464
615,-653.1472680355464
616,-653.1472680355464
617,-653.1472680355464
618,-653.1472680355464
619,-653.1472680355464
620,-653.1472680355464
621,-653.1472680355464
622,-653.1472680355464
623,-653.1472680355464
624,-653.1472680355464
625,-653.1472680355464
626,-653.1472680355464
627,-653.1472680355464
628,-653.1472680355464
629,-653.1472680355464
630,-653.1472680355464
631,-653.1472680355464
632,-653.1472680355464
633,-653.1472680355464
634,-653.1472680355464
635,-653.1472680355464
636,-653.1472680355464
637,-653.1472680355464
638,-653.1472680355464
639,-653.1472680355464
640,-653.1472680355464
641,-653.1472680355464
642,-653.1472680355464
643,-653.1472680355464
644,-653.1472680355464
645,-653.1472680355464
646,-653.1472680355464
647,-653.1472680355464
648,-653.1472680355464
649,-653.1472680355464
650,-653.1472680355464
651,-653.1472680355464
652,-653.1472680355464
653,-653.1472680355464
654,-653.1472680355464
655,-653.1472680355464
656,-653.1472680355464
657,-653.1472680355464
658,-653.1472680355464
659,-653.1472680355464
660,-653.1472680355464
661,-653.1472680355464
662,-653.1472680355464
663,-653.1472680355464
664,-653.1472680355464
665,-653.1472680355464
666,-653.1472680355464
667,-653.1472680355464
668,-653.1472680355464
669,-653.1472680355464
670,-653.1472680355464
671,-653.1472680355464
672,-653.1472680355464
673,-653.1472680355464
674,-653.1472680355464
675,-653.1472680355464
676,-653.1472680355464
677,-653.1472680355464
678,-653.1472680355464
679,-653.1472680355464
680,-653.1472680355464
681,-653.1472680355464
682,-653.1472680355464
683,-653.1472680355464
684,-653.1472680355464
685,-653.1472680355464
686,-653.1472680355464
687,-653.1472680355464
688,-653.1472680355464
689,-653.1472680355464
690,-653.1472680355464
691,-653.1472680355464
692,-653.1472680355464
693,-653.1472680355464
694,-653.1472680355464
695,-653.1472680355464
696,-653.1472680355464
697,-653.1472680355464
698,-653.1472680355464
699,-653.1472680355464
700,-653.1472680355464
701,-653.1472680355464
702,-653.1472680355464
703,-653.1472680355464
704,-653.1472680355464
705,-653.1472680355464
706,-653.1472680355464
707,-653.1472680355464
708,-653.1472680355464
709,-653.1472680355464
710,-653.1472680355464
711,-653.1472680355464
712,-653.1472680355464
713,-653.1472680355464
714,-653.1472680355464
715,-653.1472680355464
716,-653.1472680355464
717,-653.1472680355464
718,-653.1472680355464
719,-653.1472680355464
720,-653.1472680355464
721,-653.1472680355464
722,-653.1472680355464
723,-653.1472680355464
724,-653.1472680355464
725,-653.1472680355464
726,-653.1472680355464
727,-653.1472680355464
728,-653.1472680355464
729,-653.1472680355464
730,-653.1472680355464
731,-653.1472680355464
732,-653.1472680355464
733,-653.1472680355464
