sample_index,energy
149,-649.7513022180801
150,-649.7513022180801
151,-649.7513022180801
152,-649.7513022180801
153,-649.7513022180801
154,-649.7513022180801
155,-649.7513022180801
156,-649.7513022180801
157,-649.7513022180801
158,-649.7513022180801
159,-649.7513022180801
160,-649.7513022180801
161,-649.7513022180801
162,-649.7513022180801
163,-649.7513022180801
164,-649.7513022180801
165,-649.7513022180801
166,-649.7513022180801
167,-649.7513022180801
168,-649.7513022180801
169,-649.7513022180801
170,-649.7513022180801
171,-649.7513022180801
172,-649.7513022180801
173,-649.7513022180801
174,-649.7513022180801
175,-649.7513022180801
176,-649.7513022180801
177,-649.7513022180801
178,-649.7513022180801
179,-649.7513022180801
180,-649.7513022180801
181,-649.7513022180801
182,-649.7513022180801
183,-649.7513022180801
184,-649.7513022180801
185,-649.7513022180801
186,-649.7513022180801
187,-649.7513022180801
188,-649.7513022180801
189,-649.7513022180801
190,-649.7513022180801
191,-649.7513022180801
192,-649.7513022180801
193,-649.7513022180801
194,-649.7513022180801
195,-649.7513022180801
196,-649.7513022180801
197,-649.7513022180801
198,-649.7513022180801
199,-649.7513022180801
200,-649.7513022180801
201,-649.7513022180801
202,-649.7513022180801
203,-649.7513022180801
204,-649.7513022180801
205,-649.7513022180801
206,-649.7513022180801
207,-649.7513022180801
208,-649.7513022180801
209,-649.7513022180801
210,-649.7513022180801
211,-649.7513022180801
212,-649.7513022180801
213,-649.7513022180801
214,-649.7513022180801
215,-649.7513022180801
216,-649.7513022180801
217,-649.7513022180801
218,-649.7513022180801
219,-649.7513022180801
220,-649.7513022180801
221,-649.7513022180801
222,-649.7513022180801
223,-649.7513022180801
224,-649.7513022180801
225,-649.7513022180801
226,-649.7513022180801
227,-649.7513022180801
228,-649.7513022180801
229,-649.7513022180801
230,-649.7513022180801
231,-649.7513022180801
232,-649.7513022180801
233,-649.7513022180801
234,-649.7513022180801
235,-649.7513022180801
236,-649.7513022180801
237,-649.7513022180801
238,-649.7513022180801
239,-649.7513022180801
240,-649.7513022180801
241,-649.7513022180801
242,-649.7513022180801
243,-649.7513022180801
244,-649.7513022180801
245,-649.7513022180801
246,-649.7513022180801
247,-649.7513022180801
248,-649.7513022180801
249,-649.7513022180801
250,-649.7513022180801
251,-649.7513022180801
252,-649.7513022180801
253,-649.7513022180801
254,-649.7513022180801
255,-649.7513022180801
256,-649.7513022180801
257,-649.7513022180801
258,-649.7513022180801
259,-649.7513022180801
260,-649.7513022180801
261,-649.7513022180801
262,-649.7513022180801
263,-649.7513022180801
264,-649.7513022180801
265,-649.7513022180801
266,-649.7513022180801
267,-649.7513022180801
268,-649.7513022180801
269,-649.7513022180801
270,-649.7513022180801
271,-649.7513022180801
272,-649.7513022180801
273,-649.7513022180801
274,-649.7513022180801
275,-649.7513022180801
276,-649.7513022180801
277,-649.7513022180801
278,-649.7513022180801
279,-649.7513022180801
280,-649.7513022180801
281,-649.7513022180801
282,-649.7513022180801
283,-649.7513022180801
284,-649.7513022180801
285,-649.7513022180801
286,-649.7513022180801
287,-649.7513022180801
288,-649.7513022180801
289,-649.7513022180801
290,-649.7513022180801
291,-649.7513022180801
292,-649.7513022180801
293,-649.7513022180801
294,-649.7513022180801
295,-649.7513022180801
296,-649.7513022180801
297,-649.7513022180801
298,-649.7513022180801
299,-649.7513022180801
300,-649.7513022180801
301,-649.7513022180801
302,-649.7513022180801
303,-649.7513022180801
304,-649.7513022180801
305,-649.7513022180801
306,-649.7513022180801
307,-649.7513022180801
308,-649.7513022180801
309,-649.7513022180801
310,-649.7513022180801
311,-649.7513022180801
312,-649.7513022180801
313,-649.7513022180801
314,-649.7513022180801
315,-649.7513022180801
316,-649.7513022180801
317,-649.7513022180801
318,-649.7513022180801
319,-649.7513022180801
320,-649.7513022180801
321,-649.7513022180801
322,-649.7513022180801
323,-649.7513022180801
324,-649.7513022180801
325,-649.7513022180801
326,-649.7513022180801
327,-649.7513022180801
328,-649.7513022180801
329,-649.7513022180801
330,-649.7513022180801
331,-649.7513022180801
332,-649.7513022180801
333,-649.7513022180801
334,-649.7513022180801
335,-649.7513022180801
336,-649.7513022180801
337,-649.7513022180801
338,-649.7513022180801
339,-649.7513022180801
340,-649.7513022180801
341,-649.7513022180801
342,-649.7513022180801
343,-649.7513022180801
344,-649.7513022180801
345,-649.7513022180801
346,-649.7513022180801
347,-649.7513022180801
348,-649.7513022180801
349,-649.7513022180801
350,-649.7513022180801
351,-649.7513022180801
352,-649.7513022180801
353,-649.7513022180801
354,-649.7513022180801
355,-649.7513022180801
356,-649.7513022180801
357,-649.7513022180801
358,-649.7513022180801
359,-649.7513022180801
360,-649.7513022180801
361,-649.7513022180801
362,-649.7513022180801
363,-649.7513022180801
364,-649.7513022180801
365,-649.7513022180801
366,-649.7513022180801
367,-649.7513022180801
368,-649.7513022180801
369,-649.7513022180801
370,-649.7513022180801
371,-649.7513022180801
372,-649.7513022180801
373,-649.7513022180801
374,-649.7513022180801
375,-649.7513022180801
376,-649.7513022180801
377,-649.7513022180801
378,-649.7513022180801
379,-649.7513022180801
380,-649.7513022180801
381,-649.7513022180801
382,-649.7513022180801
383,-649.7513022180801
384,-649.7513022180801
385,-649.7513022180801
386,-649.7513022180801
387,-649.7513022180801
388,-649.7513022180801
389,-649.7513022180801
390,-649.7513022180801
391,-649.7513022180801
392,-649.7513022180801
393,-649.7513022180801
394,-649.7513022180801
395,-649.7513022180801
396,-649.7513022180801
397,-649.7513022180801
398,-649.7513022180801
399,-649.7513022180801
400,-649.7513022180801
401,-649.7513022180801
402,-649.7513022180801
403,-649.7513022180801
404,-649.7513022180801
405,-649.7513022180801
406,-649.7513022180801
407,-649.7513022180801
408,-649.7513022180801
409,-649.7513022180801
410,-649.7513022180801
411,-649.7513022180801
412,-649.7513022180801
413,-649.7513022180801
414,-649.7513022180801
415,-649.7513022180801
416,-649.7513022180801
417,-649.7513022180801
418,-649.7513022180801
419,-649.7513022180801
420,-649.7513022180801
421,-649.7513022180801
422,-649.7513022180801
423,-649.7513022180801
424,-649.7513022180801
425,-649.7513022180801
426,-649.7513022180801
427,-649.7513022180801
428,-649.7513022180801
429,-649.7513022180801
430,-649.7513022180801
431,-649.7513022180801
432,-649.7513022180801
433,-649.7513022180801
434,-649.7513022180801
435,-649.7513022180801
436,-649.7513022180801
437,-649.7513022180801
438,-649.7513022180801
439,-649.7513022180801
440,-649.7513022180801
441,-649.7513022180801
442,-649.7513022180801
443,-649.7513022180801
444,-649.7513022180801
445,-649.7513022180801
446,-649.7513022180801
447,-649.7513022180801
448,-649.7513022180801
449,-649.7513022180801
450,-649.7513022180801
451,-649.7513022180801
452,-649.7513022180801
453,-649.7513022180801
454,-649.7513022180801
455,-649.7513022180801
456,-649.7513022180801
457,-649.7513022180801
458,-649.7513022180801
459,-649.7513022180801
460,-649.7513022180801
461,-649.7513022180801
462,-649.7513022180801
463,-649.7513022180801
464,-649.7513022180801
465,-649.7513022180801
466,-649.7513022180801
467,-649.7513022180801
468,-649.7513022180801
469,-649.7513022180801
470,-649.7513022180801
471,-649.7513022180801
472,-649.7513022180801
473,-649.7513022180801
474,-649.7513022180801
475,-649.7513022180801
476,-649.7513022180801
477,-649.7513022180801
478,-649.7513022180801
479,-649.7513022180801
480,-649.7513022180801
481,-649.7513022180801
482,-649.7513022180801
483,-649.7513022180801
484,-649.7513022180801
485,-649.7513022180801
486,-649.7513022180801
487,-649.7513022180801
488,-649.7513022180801
489,-649.7513022180801
490,-649.7513022180801
491,-649.7513022180801
492,-649.7513022180801
493,-649.7513022180801
494,-649.7513022180801
495,-649.7513022180801
496,-649.7513022180801
497,-649.7513022180801
498,-649.7513022180801
499,-649.7513022180801
500,-649.7513022180801
501,-649.7513022180801
502,-649.7513022180801
503,-649.7513022180801
504,-649.7513022180801
505,-649.7513022180801
506,-649.7513022180801
507,-649.7513022180801
508,-649.7513022180801
509,-649.7513022180801
510,-649.7513022180801
511,-649.7513022180801
512,-649.7513022180801
513,-649.7513022180801
514,-649.7513022180801
515,-649.7513022180801
516,-649.7513022180801
517,-649.7513022180801
518,-649.7513022180801
519,-649.7513022180801
520,-649.7513022180801
521,-649.7513022180801
522,-649.7513022180801
523,-649.7513022180801
524,-649.7513022180801
525,-649.7513022180801
526,-649.7513022180801
527,-649.7513022180801
528,-649.7513022180801
529,-649.7513022180801
530,-649.7513022180801
531,-649.7513022180801
532,-649.7513022180801
533,-649.7513022180801
534,-649.7513022180801
535,-649.7513022180801
536,-649.7513022180801
537,-649.7513022180801
538,-649.7513022180801
539,-649.7513022180801
540,-649.7513022180801
541,-649.7513022180801
542,-649.7513022180801
543,-649.7513022180801
544,-649.7513022180801
545,-649.7513022180801
546,-649.7513022180801
547,-649.7513022180801
548,-649.7513022180801
549,-649.7513022180801
550,-649.7513022180801
551,-649.7513022180801
552,-649.7513022180801
553,-649.7513022180801
554,-649.7513022180801
555,-649.7513022180801
556,-649.7513022180801
557,-649.7513022180801
558,-649.7513022180801
559,-649.7513022180801
560,-649.7513022180801
561,-649.7513022180801
562,-649.7513022180801
563,-649.7513022180801
564,-649.7513022180801
565,-649.7513022180801
566,-649.7513022180801
567,-649.7513022180801
568,-649.7513022180801
569,-649.7513022180801
570,-649.7513022180801
571,-649.7513022180801
572,-649.7513022180801
573,-649.7513022180801
574,-649.7513022180801
575,-649.7513022180801
576,-649.7513022180801
577,-649.7513022180801
578,-649.7513022180801
579,-649.7513022180801
580,-649.7513022180801
581,-649.7513022180801
582,-649.7513022180801
583,-649.7513022180801
584,-649.7513022180801
585,-649.7513022180801
586,-649.7513022180801
587,-649.7513022180801
588,-649.7513022180801
589,-649.7513022180801
590,-649.7513022180801
591,-649.7513022180801
592,-649.7513022180801
593,-649.7513022180801
594,-649.7513022180801
595,-649.7513022180801
596,-649.7513022180801
597,-649.7513022180801
598,-649.7513022180801
599,-649.7513022180801
600,-649.7513022180801
601,-508.40503966291664
602,-554.5060113652398
603,-586.1310746712704
604,-603.9482302129118
605,-612.068629583009
606,-618.613072356695
607,-629.5015953345417
608,-634.7697996611437
609,-637.2644966281533
610,-638.8997455832181
611,-638.8997455832181
612,-641.4029482512431
613,-644.4886537059645
614,-646.4560787665621
615,-646.4560787665621
616,-646.4560787665621
617,-647.9057579107509
618,-647.9057579107509
619,-648.9446705243603
620,-648.9446705243603
621,-648.9446705243603
622,-648.9446705243603
623,-648.9446705243603
624,-649.5480257399208
625,-650.7001850017509
626,-650.7001850017509
627,-650.7001850017509
628,-650.7001850017509
629,-650.7001850017509
630,-650.7001850017509
631,-650.7001850017509
632,-650.7001850017509
633,-650.7001850017509
634,-650.7001850017509
635,-650.7001850017509
636,-650.7001850017509
637,-650.7001850017509
638,-650.7001850017509
639,-650.7001850017509
640,-650.7001850017509
641,-650.7001850017509
642,-651.2800534301764
643,-651.2800534301764
644,-651.2800534301764
645,-651.2800534301764
646,-651.2800534301764
647,-651.2800534301764
648,-651.2800534301764
649,-651.2800534301764
650,-651.2800534301764
651,-651.2800534301764
652,-651.2800534301764
653,-651.2800534301764
654,-651.2800534301764
655,-651.2800534301764
656,-651.2800534301764
657,-651.2800534301764
658,-651.2800534301764
659,-651.8734565156652
660,-651.8734565156652
661,-651.8734565156652
662,-651.8734565156652
663,-654.4503158801924
664,-654.4503158801924
665,-654.4503158801924
666,-654.4503158801924
667,-654.4503158801924
668,-654.4503158801924
669,-654.4503158801924
670,-654.4503158801924
671,-654.4503158801924
672,-654.4503158801924
673,-654.4503158801924
674,-654.4503158801924
675,-654.4503158801924
676,-654.4503158801924
677,-654.4503158801924
678,-654.4503158801924
679,-654.4503158801924
680,-654.9258214904241
681,-654.9258214904241
682,-654.9258214904241
683,-654.9258214904241
684,-654.9258214904241
685,-654.9258214904241
686,-654.9258214904241
687,-654.9258214904241
688,-654.9258214904241
689,-654.9258214904241
690,-654.9258214904241
691,-654.9258214904241
692,-654.9258214904241
693,-654.9258214904241
694,-654.9258214904241
695,-654.9258214904241
696,-654.9258214904241
697,-654.9258214904241
698,-654.9258214904241
699,-654.9258214904241
700,-654.9258214904241
701,-654.9258214904241
702,-654.9258214904241
703,-654.9258214904241
704,-654.9258214904241
705,-654.9258214904241
706,-654.9258214904241
707,-654.9258214904241
708,-654.9258214904241
709,-654.9258214904241
710,-654.9258214904241
711,-654.9258214904241
712,-654.9258214904241
713,-654.9258214904241
714,-654.9258214904241
715,-654.9258214904241
716,-654.9258214904241
717,-654.9258214904241
718,-654.9258214904241
719,-654.9258214904241
720,-654.9258214904241
721,-654.9258214904241
722,-654.9258214904241
723,-654.9258214904241
724,-654.9258214904241
725,-654.9258214904241
726,-654.9258214904241
727,-654.9258214904241
728,-654.9258214904241
729,-654.9258214904241
730,-654.9258214904241
731,-654.9258214904241
732,-654.9258214904241
733,-654.9258214904241
734,-654.9258214904241
735,-654.9258214904241
736,-654.9258214904241
737,-654.9258214904241
738,-654.9258214904241
739,-654.9258214904241
740,-654.9258214904241
741,-654.9258214904241
742,-654.9258214904241
743,-654.9258214904241
744,-654.9258214904241
745,-654.9258214904241
746,-654.9258214904241
747,-654.9258214904241
748,-654.9258214904241
749,-654.9258214904241
750,-654.9258214904241
751,-654.9258214904241
752,-654.9258214904241
753,-654.9258214904241
754,-654.9258214904241
755,-654.9258214904241
756,-654.9258214904241
757,-654.9258214904241
758,-654.9258214904241
759,-654.9258214904241
760,-654.9258214904241
761,-654.9258214904241
762,-654.9258214904241
763,-654.9258214904241
764,-654.9258214904241
765,-654.9258214904241
766,-654.9258214904241
767,-654.9258214904241
768,-654.9258214904241
769,-654.9258214904241
770,-654.9258214904241
771,-654.9258214904241
772,-654.9258214904241
773,-654.9258214904241
774,-654.9258214904241
775,-654.9258214904241
776,-654.9258214904241
777,-654.9258214904241
778,-654.9258214904241
779,-654.9258214904241
780,-654.9258214904241
781,-654.9258214904241
782,-654.9258214904241
783,-654.9258214904241
784,-654.9258214904241
785,-654.9258214904241
786,-654.9258214904241
787,-654.9258214904241
788,-654.9258214904241
789,-654.9258214904241
790,-654.9258214904241
791,-654.9258214904241
792,-654.9258214904241
793,-654.9258214904241
794,-654.9258214904241
795,-654.9258214904241
796,-654.9258214904241
797,-654.9258214904241
798,-654.9258214904241
799,-654.9258214904241
800,-654.9258214904241
801,-654.9258214904241
802,-654.9258214904241
803,-654.9258214904241
804,-654.9258214904241
805,-654.9258214904241
806,-654.9258214904241
807,-654.9258214904241
808,-654.9258214904241
809,-654.9258214904241
810,-654.9258214904241
811,-654.9258214904241
812,-654.9258214904241
813,-654.9258214904241
814,-654.9258214904241
815,-654.9258214904241
816,-654.9258214904241
817,-654.9258214904241
818,-654.9258214904241
819,-654.9258214904241
820,-654.9258214904241
821,-654.9258214904241
822,-654.9258214904241
823,-654.9258214904241
824,-654.9258214904241
825,-654.9258214904241
826,-654.9258214904241
827,-654.9258214904241
828,-654.9258214904241
829,-654.9258214904241
830,-654.9258214904241
831,-654.9258214904241
832,-654.9258214904241
833,-654.9258214904241
834,-654.9258214904241
835,-654.9258214904241
836,-654.9258214904241
837,-654.9258214904241
838,-654.9258214904241
839,-654.9258214904241
840,-654.9258214904241
841,-654.9258214904241
842,-654.9258214904241
843,-654.9258214904241
844,-654.9258214904241
845,-654.9258214904241
846,-654.9258214904241
847,-654.9258214904241
848,-654.9258214904241
849,-654.9258214904241
850,-654.9258214904241
851,-654.9258214904241
852,-654.9258214904241
853,-654.9258214904241
854,-654.9258214904241
855,-654.9258214904241
856,-654.9258214904241
857,-654.9258214904241
858,-654.9258214904241
859,-654.9258214904241
860,-654.9258214904241
861,-654.9258214904241
862,-654.9258214904241
863,-654.9258214904241
864,-654.9258214904241
865,-654.9258214904241
866,-654.9258214904241
867,-654.9258214904241
868,-654.9258214904241
869,-654.9258214904241
870,-654.9258214904241
871,-654.9258214904241
872,-654.9258214904241
873,-654.9258214904241
874,-654.9258214904241
875,-654.9258214904241
876,-654.9258214904241
877,-654.9258214904241
878,-654.9258214904241
879,-654.9258214904241
880,-654.9258214904241
881,-654.9258214904241
882,-654.9258214904241
883,-654.9258214904241
884,-654.9258214904241
885,-654.9258214904241
886,-654.9258214904241
887,-654.9258214904241
888,-654.9258214904241
889,-654.9258214904241
890,-654.9258214904241
891,-654.9258214904241
892,-654.9258214904241
893,-654.9258214904241
894,-654.9258214904241
895,-654.9258214904241
896,-654.9258214904241
897,-654.9258214904241
898,-654.9258214904241
899,-654.9258214904241
900,-654.9258214904241
901,-654.9258214904241
902,-654.9258214904241
903,-654.9258214904241
904,-654.9258214904241
905,-654.9258214904241
906,-654.9258214904241
907,-654.9258214904241
908,-654.9258214904241
909,-654.9258214904241
910,-654.9258214904241
911,-654.9258214904241
912,-654.9258214904241
913,-654.9258214904241
914,-654.9258214904241
915,-654.9258214904241
916,-654.9258214904241
917,-654.9258214904241
918,-654.9258214904241
919,-654.9258214904241
920,-654.9258214904241
921,-654.9258214904241
922,-654.9258214904241
923,-654.9258214904241
924,-654.9258214904241
925,-654.9258214904241
926,-654.9258214904241
927,-654.9258214904241
928,-654.9258214904241
929,-654.9258214904241
930,-654.9258214904241
931,-654.9258214904241
932,-654.9258214904241
933,-654.9258214904241
934,-654.9258214904241
935,-654.9258214904241
936,-654.9258214904241
937,-654.9258214904241
938,-654.9258214904241
939,-654.9258214904241
940,-654.9258214904241
941,-654.9258214904241
942,-654.9258214904241
943,-654.9258214904241
944,-654.9258214904241
945,-654.9258214904241
946,-654.9258214904241
947,-654.9258214904241
948,-654.9258214904241
949,-654.9258214904241
950,-654.9258214904241
951,-654.9258214904241
952,-654.9258214904241
953,-654.9258214904241
954,-654.9258214904241
955,-654.9258214904241
956,-654.9258214904241
957,-654.9258214904241
958,-654.9258214904241
959,-654.9258214904241
960,-654.9258214904241
961,-654.9258214904241
962,-654.9258214904241
963,-654.9258214904241
964,-654.9258214904241
965,-654.9258214904241
966,-654.9258214904241
967,-654.9258214904241
968,-654.9258214904241
969,-654.9258214904241
970,-654.9258214904241
971,-654.9258214904241
972,-654.9258214904241
973,-654.9258214904241
974,-654.9258214904241
975,-654.9258214904241
976,-654.9258214904241
977,-654.9258214904241
978,-654.9258214904241
979,-654.9258214904241
980,-654.9258214904241
981,-654.9258214904241
982,-654.9258214904241
983,-654.9258214904241
984,-654.9258214904241
985,-654.9258214904241
986,-654.9258214904241
987,-654.9258214904241
988,-654.9258214904241
989,-654.9258214904241
990,-654.9258214904241
991,-654.9258214904241
992,-654.9258214904241
993,-654.9258214904241
994,-654.9258214904241
995,-654.9258214904241
996,-654.9258214904241
997,-654.9258214904241
998,-654.9258214904241
999,-654.9258214904241
1000,-654.9258214904241
1001,-654.9258214904241
1002,-654.9258214904241
1003,-654.9258214904241
1004,-654.9258214904241
1005,-654.9258214904241
1006,-654.9258214904241
1007,-654.9258214904241
1008,-654.9258214904241
1009,-654.9258214904241
1010,-654.9258214904241
1011,-654.9258214904241
1012,-654.9258214904241
1013,-654.9258214904241
1014,-654.9258214904241
1015,-654.9258214904241
1016,-654.9258214904241
1017,-654.9258214904241
1018,-654.9258214904241
1019,-654.9258214904241
1020,-654.9258214904241
1021,-654.9258214904241
1022,-654.9258214904241
1023,-654.9258214904241
1024,-654.9258214904241
1025,-654.9258214904241
1026,-654.9258214904241
1027,-654.9258214904241
1028,-654.9258214904241
1029,-654.9258214904241
1030,-654.9258214904241
1031,-654.9258214904241
1032,-654.9258214904241
1033,-654.9258214904241
1034,-654.9258214904241
1035,-654.9258214904241
1036,-654.9258214904241
1037,-654.9258214904241
1038,-654.9258214904241
1039,-654.9258214904241
1040,-654.9258214904241
1041,-654.9258214904241
1042,-654.9258214904241
1043,-654.9258214904241
1044,-654.9258214904241
1045,-654.9258214904241
1046,-654.9258214904241
1047,-654.9258214904241
1048,-654.9258214904241
1049,-654.9258214904241
